Lipid,Pvalues Endothelial vs Whole Lysate
PE(P-18:0/18:1)_B;PE(P-16:0/20:1),0.175508349
PE(P-18:0/20:3),0.260619379
PE(P-18:0/20:4)_A,0.030680183
PE(P-18:0/20:4)_B,0.025741907
PE(P-18:0/22:4),0.109003216
PE(P-18:0/22:6),0.007386845
PE(P-20:0/16:0),0.054934037
PE(P-20:0/20:4)_A,0.094302836
PE(P-20:0/20:4)_B,0.026302915
PG(18:2/18:2),0.072534766
PG(18:2/20:4),0.090715397
PG(16:0/16:0),0.026528415
PG(16:0/18:0),0.003772742
PG(16:0/18:1)_C,0.098939532
PG(16:0/18:2)_B,0.155791007
PG(16:0/20:4),0.568560529
PG(18:0/18:1)_C,0.006205947
PG(18:0/18:2),0.173656379
PG(18:0/20:4),0.161684511
PG(18:1/18:1)_B,0.043177176
PG(18:1/18:2)_C,0.393134078
PG(18:1/20:4)_C,0.301758182
PG(16:0/18:1)_A,0.001815973
PG(16:0/18:1)_B,0.001553708
PG(16:0/18:2)_A,0.004547691
PG(18:0/18:1)_A,0.003487995
PG(18:0/18:1)_B,0.000178716
PG(18:1/18:1)_A,0.001993835
PG(18:1/18:2)_A,0.000635467
PG(18:1/18:2)_B,0.000117589
PG(18:1/20:4)_A,0.000868076
PG(18:1/20:4)_B,0.006133183
PG(18:1/22:6),0.006657796
PI(16:0/16:0),0.578258638
PI(16:0/16:1),0.124760638
PI(16:0/18:0),0.98617712
PI(16:0/18:1),0.050491224
PI(16:0/18:2),0.094707036
PI(16:1/18:1),0.042111587
PI(17:0/18:1),0.02657973
PI(18:0/18:1),0.002108623
PI(18:0/18:2),0.005657735
PI(18:1/18:2),0.253833877
PI(16:0/20:4),0.357687316
PI(17:0/20:4),0.740407731
PI(18:0/20:3)_A,0.011000255
PI(18:0/20:3)_B,0.061803291
PI(16:0/22:4),0.182231768
PI(18:0/20:4),0.099606803
PI(18:1/20:4)_A,0.008311716
PI(18:1/20:4)_B,0.013963494
PI(16:0/22:6),0.01079418
PI(18:0/22:4),0.056833219
PI(18:0/22:6),0.006935972
PS(16:0/18:1),0.30039999
PS(18:0/18:1),0.016853772
PS(18:0/18:2);PS(18:1/18:1),0.006122664
PS(18:1/20:0),0.067803996
PS(18:0/20:3),0.043499256
PS(18:0/20:4),0.009303637
PS(18:1/20:3),0.03122812
PS(18:1/20:4),0.016014567
PS(18:0/22:4),0.050778759
PS(18:1/22:4),0.043253717
PS(18:0/22:6),0.008094772
DG(16:0/18:0/0:0),0.601286847
DG(16:0/18:1/0:0),0.013262164
DG(16:0/18:2/0:0),0.427226415
DG(18:0/0:0/18:0)_B,0.828580604
DG(18:0/18:1/0:0),0.344189711
DG(16:0/20:4/0:0),0.026473635
DG(18:0/20:4/0:0),0.006169896
TG(10:0/12:0/14:0);TG(8:0/12:0/16:0),0.326086094
TG(40:0),0.1011212
TG(42:0),0.880763412
TG(44:0),0.115458608
TG(45:1),0.806182689
TG(46:0),0.978897921
TG(46:1),0.736460856
TG(46:2),0.908954628
TG(47:0),0.61396756
TG(47:1),0.89284266
TG(47:2),0.618087349
TG(16:0/16:0/16:0),0.466403163
TG(48:1),0.428163898
TG(48:2),0.919637457
TG(49:1),0.961372959
TG(49:2),0.950202348
TG(50:0),0.506905698
TG(16:0/16:0/18:1),0.029194741
TG(50:2),0.013181499
TG(50:3),0.011793917
